   67 T=     4. E= -.33252730E+03 F= -.33255987E+03 E0= -.33248147E+03  EK= 0.32573E-01 SP= 0.00E+00 SK= 0.00E+00
   68 T=     4. E= -.33252731E+03 F= -.33256335E+03 E0= -.33248480E+03  EK= 0.36035E-01 SP= 0.00E+00 SK= 0.00E+00
   69 T=     5. E= -.33252733E+03 F= -.33256645E+03 E0= -.33248775E+03  EK= 0.39121E-01 SP= 0.00E+00 SK= 0.00E+00
   70 T=     5. E= -.33252736E+03 F= -.33256912E+03 E0= -.33249024E+03  EK= 0.41752E-01 SP= 0.00E+00 SK= 0.00E+00
   71 T=     5. E= -.33252741E+03 F= -.33257103E+03 E0= -.33249198E+03  EK= 0.43620E-01 SP= 0.00E+00 SK= 0.00E+00
   72 T=     6. E= -.33252745E+03 F= -.33257173E+03 E0= -.33249250E+03  EK= 0.44286E-01 SP= 0.00E+00 SK= 0.00E+00
   73 T=     5. E= -.33252746E+03 F= -.33257090E+03 E0= -.33249147E+03  EK= 0.43438E-01 SP= 0.00E+00 SK= 0.00E+00
   74 T=     5. E= -.33252745E+03 F= -.33256855E+03 E0= -.33248891E+03  EK= 0.41105E-01 SP= 0.00E+00 SK= 0.00E+00
   75 T=     5. E= -.33252742E+03 F= -.33256511E+03 E0= -.33248524E+03  EK= 0.37695E-01 SP= 0.00E+00 SK= 0.00E+00
   76 T=     4. E= -.33252740E+03 F= -.33256120E+03 E0= -.33248105E+03  EK= 0.33801E-01 SP= 0.00E+00 SK= 0.00E+00
   77 T=     4. E= -.33252740E+03 F= -.33255730E+03 E0= -.33247684E+03  EK= 0.29904E-01 SP= 0.00E+00 SK= 0.00E+00
   78 T=     3. E= -.33252742E+03 F= -.33255359E+03 E0= -.33247276E+03  EK= 0.26166E-01 SP= 0.00E+00 SK= 0.00E+00
   79 T=     3. E= -.33252745E+03 F= -.33254989E+03 E0= -.33246862E+03  EK= 0.22444E-01 SP= 0.00E+00 SK= 0.00E+00
   80 T=     2. E= -.33252746E+03 F= -.33254597E+03 E0= -.33246419E+03  EK= 0.18510E-01 SP= 0.00E+00 SK= 0.00E+00
   81 T=     2. E= -.33252745E+03 F= -.33254176E+03 E0= -.33245942E+03  EK= 0.14312E-01 SP= 0.00E+00 SK= 0.00E+00
   82 T=     1. E= -.33252742E+03 F= -.33253752E+03 E0= -.33245460E+03  EK= 0.10097E-01 SP= 0.00E+00 SK= 0.00E+00
   83 T=     1. E= -.33252740E+03 F= -.33253372E+03 E0= -.33245026E+03  EK= 0.63250E-02 SP= 0.00E+00 SK= 0.00E+00
   84 T=     0. E= -.33252739E+03 F= -.33253082E+03 E0= -.33244691E+03  EK= 0.34349E-02 SP= 0.00E+00 SK= 0.00E+00
   85 T=     0. E= -.33252739E+03 F= -.33252905E+03 E0= -.33244485E+03  EK= 0.16542E-02 SP= 0.00E+00 SK= 0.00E+00
